"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","Time.Year","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"MDW","Chicago, IL: Chicago Midway International","2003/06","6","June","2003","180","411","311","12","39","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.","9","47","951","6","6057","7061","8535","20938","10702","331","42962","2456"
"MIA","Miami, FL: Miami International","2003/06","6","June","2003","247","210","585","2","66","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","28","1105","22","3745","4900","12609","12700","22976","66","52191","3840"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2003/06","6","June","2003","428","376","759","9","106","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","101","1678","11","10404","12194","27468","20994","23137","529","78259","6131"
"ORD","Chicago, IL: Chicago O'Hare International","2003/06","6","June","2003","801","982","2947","11","157","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","12","261","4899","38","24997","30195","54296","55855","135851","604","257007","10401"
"PDX","Portland, OR: Portland International","2003/06","6","June","2003","193","248","213","11","22","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","9","17","684","5","4040","4746","8260","11909","5943","505","27645","1028"
"PHL","Philadelphia, PA: Philadelphia International","2003/06","6","June","2003","338","565","1083","1","64","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","12","83","2049","20","6917","9069","16478","31005","45538","21","97173","4131"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2003/06","6","June","2003","491","569","664","19","41","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","57","1783","10","12158","14008","26512","27458","18673","768","76031","2620"
"SAN","San Diego, CA: San Diego International","2003/06","6","June","2003","324","349","341","8","30","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","20","1052","4","5775","6851","15034","15747","10449","223","43215","1762"
"SEA","Seattle, WA: Seattle/Tacoma International","2003/06","6","June","2003","448","552","454","28","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","63","1516","9","7658","9246","22647","28119","13860","1097","68673","2950"
"SFO","San Francisco, CA: San Francisco International","2003/06","6","June","2003","416","312","1080","14","59","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","83","1880","9","8211","10183","22673","17879","45407","1138","90487","3390"
"SLC","Salt Lake City, UT: Salt Lake City International","2003/06","6","June","2003","363","290","352","15","36","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","10","34","1057","0","9491","10582","16227","13883","10512","556","42863","1685"
"TPA","Tampa, FL: Tampa International","2003/06","6","June","2003","226","327","524","3","42","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","12","1122","11","4256","5401","11012","18558","19078","112","51364","2604"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2003/07","7","July","2003","1259","1791","4022","13","367","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","484","7452","71","22868","30875","87261","116728","184740","356","418274","29189"
"BOS","Boston, MA: Logan International","2003/07","7","July","2003","450","587","609","0","61","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","226","1710","3","8033","9972","28610","36619","26923","10","97186","5024"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2003/07","7","July","2003","387","646","544","4","102","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","57","1679","20","6855","8611","18395","42876","28654","81","100157","10151"
"CLT","Charlotte, NC: Charlotte Douglas International","2003/07","7","July","2003","335","542","945","0","74","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","163","1895","24","6883","8965","17830","32502","37630","0","94531","6569"
"DCA","Washington, DC: Ronald Reagan Washington National","2003/07","7","July","2003","343","270","573","3","74","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","181","1260","13","5241","6695","17776","18002","25897","111","67839","6053"
"DEN","Denver, CO: Denver International","2003/07","7","July","2003","562","434","646","2","111","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","71","1753","9","10869","12702","29155","30028","25912","87","91893","6711"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2003/07","7","July","2003","1216","1443","2081","18","244","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","274","5003","64","22982","28323","78047","83156","80740","447","258631","16241"
"DTW","Detroit, MI: Detroit Metro Wayne County","2003/07","7","July","2003","475","448","816","4","145","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","175","1891","22","10104","12192","33660","26421","30809","137","103913","12886"
